Código Departamento;Código Municipio;Nombre Departamento;Nombre Municipio
05;05001;ANTIOQUIA;MEDELLÍN
05;05002;ANTIOQUIA;ABEJORRAL
05;05004;ANTIOQUIA;ABRIAQUÍ
05;05021;ANTIOQUIA;ALEJANDRÍA
05;05030;ANTIOQUIA;AMAGÁ
05;05031;ANTIOQUIA;AMALFI
05;05034;ANTIOQUIA;ANDES
05;05036;ANTIOQUIA;ANGELÓPOLIS
05;05038;ANTIOQUIA;ANGOSTURA
05;05040;ANTIOQUIA;ANORÍ
05;05042;ANTIOQUIA;SANTA FÉ DE ANTIOQUIA
05;05044;ANTIOQUIA;ANZÁ
05;05045;ANTIOQUIA;APARTADÓ
05;05051;ANTIOQUIA;ARBOLETES
05;05055;ANTIOQUIA;ARGELIA
05;05059;ANTIOQUIA;ARMENIA
05;05079;ANTIOQUIA;BARBOSA
05;05086;ANTIOQUIA;BELMIRA
05;05088;ANTIOQUIA;BELLO
05;05091;ANTIOQUIA;BETANIA
05;05093;ANTIOQUIA;BETULIA
05;05101;ANTIOQUIA;CIUDAD BOLÍVAR
05;05107;ANTIOQUIA;BRICEÑO
05;05113;ANTIOQUIA;BURITICÁ
05;05120;ANTIOQUIA;CÁCERES
05;05125;ANTIOQUIA;CAICEDO
05;05129;ANTIOQUIA;CALDAS
05;05134;ANTIOQUIA;CAMPAMENTO
05;05138;ANTIOQUIA;CAÑASGORDAS
05;05142;ANTIOQUIA;CARACOLÍ
05;05145;ANTIOQUIA;CARAMANTA
05;05147;ANTIOQUIA;CAREPA
05;05148;ANTIOQUIA;EL CARMEN DE VIBORAL
05;05150;ANTIOQUIA;CAROLINA
05;05154;ANTIOQUIA;CAUCASIA
05;05172;ANTIOQUIA;CHIGORODÓ
05;05190;ANTIOQUIA;CISNEROS
05;05197;ANTIOQUIA;COCORNÁ
05;05206;ANTIOQUIA;CONCEPCIÓN
05;05209;ANTIOQUIA;CONCORDIA
05;05212;ANTIOQUIA;COPACABANA
05;05234;ANTIOQUIA;DABEIBA
05;05237;ANTIOQUIA;DONMATÍAS
05;05240;ANTIOQUIA;EBÉJICO
05;05250;ANTIOQUIA;EL BAGRE
05;05264;ANTIOQUIA;ENTRERRÍOS
05;05266;ANTIOQUIA;ENVIGADO
05;05282;ANTIOQUIA;FREDONIA
05;05284;ANTIOQUIA;FRONTINO
05;05306;ANTIOQUIA;GIRALDO
05;05308;ANTIOQUIA;GIRARDOTA
05;05310;ANTIOQUIA;GÓMEZ PLATA
05;05313;ANTIOQUIA;GRANADA
05;05315;ANTIOQUIA;GUADALUPE
05;05318;ANTIOQUIA;GUARNE
05;05321;ANTIOQUIA;GUATAPÉ
05;05347;ANTIOQUIA;HELICONIA
05;05353;ANTIOQUIA;HISPANIA
05;05360;ANTIOQUIA;ITAGÜÍ
05;05361;ANTIOQUIA;ITUANGO
05;05364;ANTIOQUIA;JARDÍN
05;05368;ANTIOQUIA;JERICÓ
05;05376;ANTIOQUIA;LA CEJA
05;05380;ANTIOQUIA;LA ESTRELLA
05;05390;ANTIOQUIA;LA PINTADA
05;05400;ANTIOQUIA;LA UNIÓN
05;05411;ANTIOQUIA;LIBORINA
05;05425;ANTIOQUIA;MACEO
05;05440;ANTIOQUIA;MARINILLA
05;05467;ANTIOQUIA;MONTEBELLO
05;05475;ANTIOQUIA;MURINDÓ
05;05480;ANTIOQUIA;MUTATÁ
05;05483;ANTIOQUIA;NARIÑO
05;05490;ANTIOQUIA;NECOCLÍ
05;05495;ANTIOQUIA;NECHÍ
05;05501;ANTIOQUIA;OLAYA
05;05541;ANTIOQUIA;PEÑOL
05;05543;ANTIOQUIA;PEQUE
05;05576;ANTIOQUIA;PUEBLORRICO
05;05579;ANTIOQUIA;PUERTO BERRÍO
05;05585;ANTIOQUIA;PUERTO NARE
05;05591;ANTIOQUIA;PUERTO TRIUNFO
05;05604;ANTIOQUIA;REMEDIOS
05;05607;ANTIOQUIA;RETIRO
05;05615;ANTIOQUIA;RIONEGRO
05;05628;ANTIOQUIA;SABANALARGA
05;05631;ANTIOQUIA;SABANETA
05;05642;ANTIOQUIA;SALGAR
05;05647;ANTIOQUIA;SAN ANDRÉS DE CUERQUÍA
05;05649;ANTIOQUIA;SAN CARLOS
05;05652;ANTIOQUIA;SAN FRANCISCO
05;05656;ANTIOQUIA;SAN JERÓNIMO
05;05658;ANTIOQUIA;SAN JOSÉ DE LA MONTAÑA
05;05659;ANTIOQUIA;SAN JUAN DE URABÁ
05;05660;ANTIOQUIA;SAN LUIS
05;05664;ANTIOQUIA;SAN PEDRO DE LOS MILAGROS
05;05665;ANTIOQUIA;SAN PEDRO DE URABÁ
05;05667;ANTIOQUIA;SAN RAFAEL
05;05670;ANTIOQUIA;SAN ROQUE
05;05674;ANTIOQUIA;SAN VICENTE FERRER
05;05679;ANTIOQUIA;SANTA BÁRBARA
05;05686;ANTIOQUIA;SANTA ROSA DE OSOS
05;05690;ANTIOQUIA;SANTO DOMINGO
05;05697;ANTIOQUIA;EL SANTUARIO
05;05736;ANTIOQUIA;SEGOVIA
05;05756;ANTIOQUIA;SONSÓN
05;05761;ANTIOQUIA;SOPETRÁN
05;05789;ANTIOQUIA;TÁMESIS
05;05790;ANTIOQUIA;TARAZÁ
05;05792;ANTIOQUIA;TARSO
05;05809;ANTIOQUIA;TITIRIBÍ
05;05819;ANTIOQUIA;TOLEDO
05;05837;ANTIOQUIA;TURBO
05;05842;ANTIOQUIA;URAMITA
05;05847;ANTIOQUIA;URRAO
05;05854;ANTIOQUIA;VALDIVIA
05;05856;ANTIOQUIA;VALPARAÍSO
05;05858;ANTIOQUIA;VEGACHÍ
05;05861;ANTIOQUIA;VENECIA
05;05873;ANTIOQUIA;VIGÍA DEL FUERTE
05;05885;ANTIOQUIA;YALÍ
05;05887;ANTIOQUIA;YARUMAL
05;05890;ANTIOQUIA;YOLOMBÓ
05;05893;ANTIOQUIA;YONDÓ
05;05895;ANTIOQUIA;ZARAGOZA
08;08001;ATLÁNTICO;BARRANQUILLA
08;08078;ATLÁNTICO;BARANOA
08;08137;ATLÁNTICO;CAMPO DE LA CRUZ
08;08141;ATLÁNTICO;CANDELARIA
08;08296;ATLÁNTICO;GALAPA
08;08372;ATLÁNTICO;JUAN DE ACOSTA
08;08421;ATLÁNTICO;LURUACO
08;08433;ATLÁNTICO;MALAMBO
08;08436;ATLÁNTICO;MANATÍ
08;08520;ATLÁNTICO;PALMAR DE VARELA
08;08549;ATLÁNTICO;PIOJÓ
08;08558;ATLÁNTICO;POLONUEVO
08;08560;ATLÁNTICO;PONEDERA
08;08573;ATLÁNTICO;PUERTO COLOMBIA
08;08606;ATLÁNTICO;REPELÓN
08;08634;ATLÁNTICO;SABANAGRANDE
08;08638;ATLÁNTICO;SABANALARGA
08;08675;ATLÁNTICO;SANTA LUCÍA
08;08685;ATLÁNTICO;SANTO TOMÁS
08;08758;ATLÁNTICO;SOLEDAD
08;08770;ATLÁNTICO;SUAN
08;08832;ATLÁNTICO;TUBARÁ
08;08849;ATLÁNTICO;USIACURÍ
11;11001;BOGOTÁ. D.C.;BOGOTÁ. D.C.
13;13001;BOLÍVAR;CARTAGENA DE INDIAS
13;13006;BOLÍVAR;ACHÍ
13;13030;BOLÍVAR;ALTOS DEL ROSARIO
13;13042;BOLÍVAR;ARENAL
13;13052;BOLÍVAR;ARJONA
13;13062;BOLÍVAR;ARROYOHONDO
13;13074;BOLÍVAR;BARRANCO DE LOBA
13;13140;BOLÍVAR;CALAMAR
13;13160;BOLÍVAR;CANTAGALLO
13;13188;BOLÍVAR;CICUCO
13;13212;BOLÍVAR;CÓRDOBA
13;13222;BOLÍVAR;CLEMENCIA
13;13244;BOLÍVAR;EL CARMEN DE BOLÍVAR
13;13248;BOLÍVAR;EL GUAMO
13;13268;BOLÍVAR;EL PEÑÓN
13;13300;BOLÍVAR;HATILLO DE LOBA
13;13430;BOLÍVAR;MAGANGUÉ
13;13433;BOLÍVAR;MAHATES
13;13440;BOLÍVAR;MARGARITA
13;13442;BOLÍVAR;MARÍA LA BAJA
13;13458;BOLÍVAR;MONTECRISTO
13;13468;BOLÍVAR;SANTA CRUZ DE MOMPOX
13;13473;BOLÍVAR;MORALES
13;13490;BOLÍVAR;NOROSÍ
13;13549;BOLÍVAR;PINILLOS
13;13580;BOLÍVAR;REGIDOR
13;13600;BOLÍVAR;RÍO VIEJO
13;13620;BOLÍVAR;SAN CRISTÓBAL
13;13647;BOLÍVAR;SAN ESTANISLAO
13;13650;BOLÍVAR;SAN FERNANDO
13;13654;BOLÍVAR;SAN JACINTO
13;13655;BOLÍVAR;SAN JACINTO DEL CAUCA
13;13657;BOLÍVAR;SAN JUAN NEPOMUCENO
13;13667;BOLÍVAR;SAN MARTÍN DE LOBA
13;13670;BOLÍVAR;SAN PABLO
13;13673;BOLÍVAR;SANTA CATALINA
13;13683;BOLÍVAR;SANTA ROSA
13;13688;BOLÍVAR;SANTA ROSA DEL SUR
13;13744;BOLÍVAR;SIMITÍ
13;13760;BOLÍVAR;SOPLAVIENTO
13;13780;BOLÍVAR;TALAIGUA NUEVO
13;13810;BOLÍVAR;TIQUISIO
13;13836;BOLÍVAR;TURBACO
13;13838;BOLÍVAR;TURBANÁ
13;13873;BOLÍVAR;VILLANUEVA
13;13894;BOLÍVAR;ZAMBRANO
15;15001;BOYACÁ;TUNJA
15;15022;BOYACÁ;ALMEIDA
15;15047;BOYACÁ;AQUITANIA
15;15051;BOYACÁ;ARCABUCO
15;15087;BOYACÁ;BELÉN
15;15090;BOYACÁ;BERBEO
15;15092;BOYACÁ;BETÉITIVA
15;15097;BOYACÁ;BOAVITA
15;15104;BOYACÁ;BOYACÁ
15;15106;BOYACÁ;BRICEÑO
15;15109;BOYACÁ;BUENAVISTA
15;15114;BOYACÁ;BUSBANZÁ
15;15131;BOYACÁ;CALDAS
15;15135;BOYACÁ;CAMPOHERMOSO
15;15162;BOYACÁ;CERINZA
15;15172;BOYACÁ;CHINAVITA
15;15176;BOYACÁ;CHIQUINQUIRÁ
15;15180;BOYACÁ;CHISCAS
15;15183;BOYACÁ;CHITA
15;15185;BOYACÁ;CHITARAQUE
15;15187;BOYACÁ;CHIVATÁ
15;15189;BOYACÁ;CIÉNEGA
15;15204;BOYACÁ;CÓMBITA
15;15212;BOYACÁ;COPER
15;15215;BOYACÁ;CORRALES
15;15218;BOYACÁ;COVARACHÍA
15;15223;BOYACÁ;CUBARÁ
19;19318;CAUCA;GUAPI
15;15224;BOYACÁ;CUCAITA
15;15226;BOYACÁ;CUÍTIVA
15;15232;BOYACÁ;CHÍQUIZA
15;15236;BOYACÁ;CHIVOR
15;15238;BOYACÁ;DUITAMA
15;15244;BOYACÁ;EL COCUY
15;15248;BOYACÁ;EL ESPINO
15;15272;BOYACÁ;FIRAVITOBA
15;15276;BOYACÁ;FLORESTA
15;15293;BOYACÁ;GACHANTIVÁ
15;15296;BOYACÁ;GÁMEZA
15;15299;BOYACÁ;GARAGOA
15;15317;BOYACÁ;GUACAMAYAS
15;15322;BOYACÁ;GUATEQUE
15;15325;BOYACÁ;GUAYATÁ
15;15332;BOYACÁ;GÜICÁN DE LA SIERRA
15;15362;BOYACÁ;IZA
15;15367;BOYACÁ;JENESANO
15;15368;BOYACÁ;JERICÓ
15;15377;BOYACÁ;LABRANZAGRANDE
15;15380;BOYACÁ;LA CAPILLA
15;15401;BOYACÁ;LA VICTORIA
15;15403;BOYACÁ;LA UVITA
15;15407;BOYACÁ;VILLA DE LEYVA
15;15425;BOYACÁ;MACANAL
15;15442;BOYACÁ;MARIPÍ
15;15455;BOYACÁ;MIRAFLORES
15;15464;BOYACÁ;MONGUA
15;15466;BOYACÁ;MONGUÍ
15;15469;BOYACÁ;MONIQUIRÁ
15;15476;BOYACÁ;MOTAVITA
15;15480;BOYACÁ;MUZO
15;15491;BOYACÁ;NOBSA
15;15494;BOYACÁ;NUEVO COLÓN
15;15500;BOYACÁ;OICATÁ
15;15507;BOYACÁ;OTANCHE
15;15511;BOYACÁ;PACHAVITA
15;15514;BOYACÁ;PÁEZ
15;15516;BOYACÁ;PAIPA
15;15518;BOYACÁ;PAJARITO
15;15522;BOYACÁ;PANQUEBA
15;15531;BOYACÁ;PAUNA
15;15533;BOYACÁ;PAYA
15;15537;BOYACÁ;PAZ DE RÍO
15;15542;BOYACÁ;PESCA
15;15550;BOYACÁ;PISBA
15;15572;BOYACÁ;PUERTO BOYACÁ
15;15580;BOYACÁ;QUÍPAMA
15;15599;BOYACÁ;RAMIRIQUÍ
15;15600;BOYACÁ;RÁQUIRA
15;15621;BOYACÁ;RONDÓN
15;15632;BOYACÁ;SABOYÁ
15;15638;BOYACÁ;SÁCHICA
15;15646;BOYACÁ;SAMACÁ
15;15660;BOYACÁ;SAN EDUARDO
15;15664;BOYACÁ;SAN JOSÉ DE PARE
15;15667;BOYACÁ;SAN LUIS DE GACENO
15;15673;BOYACÁ;SAN MATEO
15;15676;BOYACÁ;SAN MIGUEL DE SEMA
15;15681;BOYACÁ;SAN PABLO DE BORBUR
15;15686;BOYACÁ;SANTANA
15;15690;BOYACÁ;SANTA MARÍA
15;15693;BOYACÁ;SANTA ROSA DE VITERBO
15;15696;BOYACÁ;SANTA SOFÍA
15;15720;BOYACÁ;SATIVANORTE
15;15723;BOYACÁ;SATIVASUR
15;15740;BOYACÁ;SIACHOQUE
15;15753;BOYACÁ;SOATÁ
15;15755;BOYACÁ;SOCOTÁ
15;15757;BOYACÁ;SOCHA
15;15759;BOYACÁ;SOGAMOSO
15;15761;BOYACÁ;SOMONDOCO
15;15762;BOYACÁ;SORA
15;15763;BOYACÁ;SOTAQUIRÁ
15;15764;BOYACÁ;SORACÁ
15;15774;BOYACÁ;SUSACÓN
15;15776;BOYACÁ;SUTAMARCHÁN
15;15778;BOYACÁ;SUTATENZA
15;15790;BOYACÁ;TASCO
15;15798;BOYACÁ;TENZA
15;15804;BOYACÁ;TIBANÁ
15;15806;BOYACÁ;TIBASOSA
15;15808;BOYACÁ;TINJACÁ
15;15810;BOYACÁ;TIPACOQUE
15;15814;BOYACÁ;TOCA
15;15816;BOYACÁ;TOGÜÍ
15;15820;BOYACÁ;TÓPAGA
15;15822;BOYACÁ;TOTA
15;15832;BOYACÁ;TUNUNGUÁ
15;15835;BOYACÁ;TURMEQUÉ
15;15837;BOYACÁ;TUTA
15;15839;BOYACÁ;TUTAZÁ
15;15842;BOYACÁ;ÚMBITA
15;15861;BOYACÁ;VENTAQUEMADA
15;15879;BOYACÁ;VIRACACHÁ
15;15897;BOYACÁ;ZETAQUIRA
17;17001;CALDAS;MANIZALES
17;17013;CALDAS;AGUADAS
17;17042;CALDAS;ANSERMA
17;17050;CALDAS;ARANZAZU
17;17088;CALDAS;BELALCÁZAR
17;17174;CALDAS;CHINCHINÁ
17;17272;CALDAS;FILADELFIA
17;17380;CALDAS;LA DORADA
17;17388;CALDAS;LA MERCED
17;17433;CALDAS;MANZANARES
17;17442;CALDAS;MARMATO
17;17444;CALDAS;MARQUETALIA
17;17446;CALDAS;MARULANDA
17;17486;CALDAS;NEIRA
17;17495;CALDAS;NORCASIA
17;17513;CALDAS;PÁCORA
17;17524;CALDAS;PALESTINA
17;17541;CALDAS;PENSILVANIA
17;17614;CALDAS;RIOSUCIO
17;17616;CALDAS;RISARALDA
17;17653;CALDAS;SALAMINA
17;17662;CALDAS;SAMANÁ
17;17665;CALDAS;SAN JOSÉ
17;17777;CALDAS;SUPÍA
17;17867;CALDAS;VICTORIA
17;17873;CALDAS;VILLAMARÍA
17;17877;CALDAS;VITERBO
18;18001;CAQUETÁ;FLORENCIA
18;18029;CAQUETÁ;ALBANIA
18;18094;CAQUETÁ;BELÉN DE LOS ANDAQUÍES
18;18150;CAQUETÁ;CARTAGENA DEL CHAIRÁ
18;18205;CAQUETÁ;CURILLO
18;18247;CAQUETÁ;EL DONCELLO
18;18256;CAQUETÁ;EL PAUJÍL
18;18410;CAQUETÁ;LA MONTAÑITA
18;18460;CAQUETÁ;MILÁN
18;18479;CAQUETÁ;MORELIA
18;18592;CAQUETÁ;PUERTO RICO
18;18610;CAQUETÁ;SAN JOSÉ DEL FRAGUA
18;18753;CAQUETÁ;SAN VICENTE DEL CAGUÁN
18;18756;CAQUETÁ;SOLANO
18;18785;CAQUETÁ;SOLITA
18;18860;CAQUETÁ;VALPARAÍSO
19;19001;CAUCA;POPAYÁN
19;19022;CAUCA;ALMAGUER
19;19050;CAUCA;ARGELIA
19;19075;CAUCA;BALBOA
19;19100;CAUCA;BOLÍVAR
19;19110;CAUCA;BUENOS AIRES
19;19130;CAUCA;CAJIBÍO
19;19137;CAUCA;CALDONO
19;19142;CAUCA;CALOTO
19;19212;CAUCA;CORINTO
19;19256;CAUCA;EL TAMBO
19;19290;CAUCA;FLORENCIA
19;19300;CAUCA;GUACHENÉ
19;19355;CAUCA;INZÁ
19;19364;CAUCA;JAMBALÓ
19;19392;CAUCA;LA SIERRA
19;19397;CAUCA;LA VEGA
19;19418;CAUCA;LÓPEZ DE MICAY
19;19450;CAUCA;MERCADERES
19;19455;CAUCA;MIRANDA
19;19473;CAUCA;MORALES
19;19513;CAUCA;PADILLA
19;19517;CAUCA;PÁEZ
19;19532;CAUCA;PATÍA
19;19533;CAUCA;PIAMONTE
19;19548;CAUCA;PIENDAMÓ - TUNÍA
19;19573;CAUCA;PUERTO TEJADA
19;19585;CAUCA;PURACÉ
19;19622;CAUCA;ROSAS
19;19693;CAUCA;SAN SEBASTIÁN
19;19698;CAUCA;SANTANDER DE QUILICHAO
19;19701;CAUCA;SANTA ROSA
19;19743;CAUCA;SILVIA
19;19760;CAUCA;SOTARÁ PAISPAMBA
19;19780;CAUCA;SUÁREZ
19;19785;CAUCA;SUCRE
19;19807;CAUCA;TIMBÍO
19;19809;CAUCA;TIMBIQUÍ
19;19821;CAUCA;TORIBÍO
19;19824;CAUCA;TOTORÓ
19;19845;CAUCA;VILLA RICA
20;20001;CESAR;VALLEDUPAR
20;20011;CESAR;AGUACHICA
20;20013;CESAR;AGUSTÍN CODAZZI
20;20032;CESAR;ASTREA
20;20045;CESAR;BECERRIL
20;20060;CESAR;BOSCONIA
20;20175;CESAR;CHIMICHAGUA
20;20178;CESAR;CHIRIGUANÁ
20;20228;CESAR;CURUMANÍ
20;20238;CESAR;EL COPEY
20;20250;CESAR;EL PASO
20;20295;CESAR;GAMARRA
20;20310;CESAR;GONZÁLEZ
20;20383;CESAR;LA GLORIA
20;20400;CESAR;LA JAGUA DE IBIRICO
20;20443;CESAR;MANAURE BALCÓN DEL CESAR
20;20517;CESAR;PAILITAS
20;20550;CESAR;PELAYA
20;20570;CESAR;PUEBLO BELLO
20;20614;CESAR;RÍO DE ORO
20;20621;CESAR;LA PAZ
20;20710;CESAR;SAN ALBERTO
20;20750;CESAR;SAN DIEGO
20;20770;CESAR;SAN MARTÍN
20;20787;CESAR;TAMALAMEQUE
23;23001;CÓRDOBA;MONTERÍA
23;23068;CÓRDOBA;AYAPEL
23;23079;CÓRDOBA;BUENAVISTA
23;23090;CÓRDOBA;CANALETE
23;23162;CÓRDOBA;CERETÉ
23;23168;CÓRDOBA;CHIMÁ
23;23182;CÓRDOBA;CHINÚ
23;23189;CÓRDOBA;CIÉNAGA DE ORO
23;23300;CÓRDOBA;COTORRA
23;23350;CÓRDOBA;LA APARTADA
23;23417;CÓRDOBA;LORICA
23;23419;CÓRDOBA;LOS CÓRDOBAS
23;23464;CÓRDOBA;MOMIL
23;23466;CÓRDOBA;MONTELÍBANO
23;23500;CÓRDOBA;MOÑITOS
23;23555;CÓRDOBA;PLANETA RICA
23;23570;CÓRDOBA;PUEBLO NUEVO
23;23574;CÓRDOBA;PUERTO ESCONDIDO
23;23580;CÓRDOBA;PUERTO LIBERTADOR
23;23586;CÓRDOBA;PURÍSIMA DE LA CONCEPCIÓN
23;23660;CÓRDOBA;SAHAGÚN
23;23670;CÓRDOBA;SAN ANDRÉS DE SOTAVENTO
23;23672;CÓRDOBA;SAN ANTERO
23;23675;CÓRDOBA;SAN BERNARDO DEL VIENTO
23;23678;CÓRDOBA;SAN CARLOS
23;23682;CÓRDOBA;SAN JOSÉ DE URÉ
23;23686;CÓRDOBA;SAN PELAYO
23;23807;CÓRDOBA;TIERRALTA
23;23815;CÓRDOBA;TUCHÍN
23;23855;CÓRDOBA;VALENCIA
25;25001;CUNDINAMARCA;AGUA DE DIOS
25;25019;CUNDINAMARCA;ALBÁN
25;25035;CUNDINAMARCA;ANAPOIMA
25;25040;CUNDINAMARCA;ANOLAIMA
25;25053;CUNDINAMARCA;ARBELÁEZ
25;25086;CUNDINAMARCA;BELTRÁN
25;25095;CUNDINAMARCA;BITUIMA
25;25099;CUNDINAMARCA;BOJACÁ
25;25120;CUNDINAMARCA;CABRERA
25;25123;CUNDINAMARCA;CACHIPAY
25;25126;CUNDINAMARCA;CAJICÁ
25;25148;CUNDINAMARCA;CAPARRAPÍ
25;25151;CUNDINAMARCA;CÁQUEZA
25;25154;CUNDINAMARCA;CARMEN DE CARUPA
25;25168;CUNDINAMARCA;CHAGUANÍ
25;25175;CUNDINAMARCA;CHÍA
25;25178;CUNDINAMARCA;CHIPAQUE
25;25181;CUNDINAMARCA;CHOACHÍ
25;25183;CUNDINAMARCA;CHOCONTÁ
25;25200;CUNDINAMARCA;COGUA
25;25214;CUNDINAMARCA;COTA
25;25224;CUNDINAMARCA;CUCUNUBÁ
25;25245;CUNDINAMARCA;EL COLEGIO
25;25258;CUNDINAMARCA;EL PEÑÓN
25;25260;CUNDINAMARCA;EL ROSAL
25;25269;CUNDINAMARCA;FACATATIVÁ
25;25279;CUNDINAMARCA;FÓMEQUE
25;25281;CUNDINAMARCA;FOSCA
25;25286;CUNDINAMARCA;FUNZA
25;25288;CUNDINAMARCA;FÚQUENE
25;25290;CUNDINAMARCA;FUSAGASUGÁ
25;25293;CUNDINAMARCA;GACHALÁ
25;25295;CUNDINAMARCA;GACHANCIPÁ
25;25297;CUNDINAMARCA;GACHETÁ
25;25299;CUNDINAMARCA;GAMA
25;25307;CUNDINAMARCA;GIRARDOT
25;25312;CUNDINAMARCA;GRANADA
25;25317;CUNDINAMARCA;GUACHETÁ
25;25320;CUNDINAMARCA;GUADUAS
25;25322;CUNDINAMARCA;GUASCA
25;25324;CUNDINAMARCA;GUATAQUÍ
25;25326;CUNDINAMARCA;GUATAVITA
25;25328;CUNDINAMARCA;GUAYABAL DE SÍQUIMA
25;25335;CUNDINAMARCA;GUAYABETAL
25;25339;CUNDINAMARCA;GUTIÉRREZ
25;25368;CUNDINAMARCA;JERUSALÉN
25;25372;CUNDINAMARCA;JUNÍN
25;25377;CUNDINAMARCA;LA CALERA
25;25386;CUNDINAMARCA;LA MESA
25;25394;CUNDINAMARCA;LA PALMA
25;25398;CUNDINAMARCA;LA PEÑA
25;25402;CUNDINAMARCA;LA VEGA
25;25407;CUNDINAMARCA;LENGUAZAQUE
25;25426;CUNDINAMARCA;MACHETÁ
25;25430;CUNDINAMARCA;MADRID
25;25436;CUNDINAMARCA;MANTA
25;25438;CUNDINAMARCA;MEDINA
25;25473;CUNDINAMARCA;MOSQUERA
25;25483;CUNDINAMARCA;NARIÑO
25;25486;CUNDINAMARCA;NEMOCÓN
25;25488;CUNDINAMARCA;NILO
25;25489;CUNDINAMARCA;NIMAIMA
25;25491;CUNDINAMARCA;NOCAIMA
25;25506;CUNDINAMARCA;VENECIA
25;25513;CUNDINAMARCA;PACHO
25;25518;CUNDINAMARCA;PAIME
25;25524;CUNDINAMARCA;PANDI
25;25530;CUNDINAMARCA;PARATEBUENO
25;25535;CUNDINAMARCA;PASCA
25;25572;CUNDINAMARCA;PUERTO SALGAR
25;25580;CUNDINAMARCA;PULÍ
25;25592;CUNDINAMARCA;QUEBRADANEGRA
25;25594;CUNDINAMARCA;QUETAME
25;25596;CUNDINAMARCA;QUIPILE
25;25599;CUNDINAMARCA;APULO
25;25612;CUNDINAMARCA;RICAURTE
25;25645;CUNDINAMARCA;SAN ANTONIO DEL TEQUENDAMA
25;25649;CUNDINAMARCA;SAN BERNARDO
25;25653;CUNDINAMARCA;SAN CAYETANO
25;25658;CUNDINAMARCA;SAN FRANCISCO
25;25662;CUNDINAMARCA;SAN JUAN DE RIOSECO
25;25718;CUNDINAMARCA;SASAIMA
25;25736;CUNDINAMARCA;SESQUILÉ
25;25740;CUNDINAMARCA;SIBATÉ
25;25743;CUNDINAMARCA;SILVANIA
25;25745;CUNDINAMARCA;SIMIJACA
25;25754;CUNDINAMARCA;SOACHA
25;25758;CUNDINAMARCA;SOPÓ
25;25769;CUNDINAMARCA;SUBACHOQUE
25;25772;CUNDINAMARCA;SUESCA
25;25777;CUNDINAMARCA;SUPATÁ
25;25779;CUNDINAMARCA;SUSA
25;25781;CUNDINAMARCA;SUTATAUSA
25;25785;CUNDINAMARCA;TABIO
25;25793;CUNDINAMARCA;TAUSA
25;25797;CUNDINAMARCA;TENA
25;25799;CUNDINAMARCA;TENJO
25;25805;CUNDINAMARCA;TIBACUY
25;25807;CUNDINAMARCA;TIBIRITA
25;25815;CUNDINAMARCA;TOCAIMA
